benchmark,python,pypy,cpp,hercules
sum,1.7811322212219238,,,2.16961e-05
float,10.633074760437012,,,0.403413
go,16.878212928771973,,,0.707067
nbody,3.5695416927337646,,0.152,0.166939
chaos,13.15990138053894,,,0.91787
spectral_norm,30.396453619003296,,,0.281383
set_partition,48.63546299934387,,9.561,12.294
primes,10.248885869979858,,,1.03612
binary_trees,320.7666120529175,,4.755,4.67602
fannkuch,296.6698694229126,,,8.64471
mandelbrot,522.5947675704956,,,29.8426
